11,1,88,01,01,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
04,1,88,01,14,0,15,30,1,01,6,5,0,02,2,4,2,4,//,08,/////,               ,Beobachter: Beate Bretschneider
04,1,88,01,14,0,15,44,1,00,7,5,0,05,1,1,1,4,//,08,/////,               ,
25,1,88,01,14,0,15,52,1,//,8,6,0,01,0,0,1,4,34,08,/////,c              ,kA kE
11,1,88,01,16,0,//,//,/,//,/,/,/,03,/,/,/, ,  ,21,/////,               ,
11,1,88,01,16,0,//,//,/,//,/,/,/,05,/,/,/, ,  ,21,/////,               ,
11,1,88,01,16,0,//,//,/,//,/,/,/,08,/,/,/, ,  ,21,810//,               ,
27,1,88,01,16,1,13,55,1,02,4,4,7,01,1,1,1, ,21,08,/////,d              ,
28,1,88,01,18,2,11,45,0,01,1,5,9,01,1,1,1,3,//,07,/////,c-d-e-f        ,
17,1,88,01,18,2,12,25,2,//,8,5,1,01,1,1,1,3,//,07,/////,c-d-e          ,kE
17,1,88,01,18,2,12,25,2,//,8,5,1,02,2,4,1,3,//,07,/////,               ,kE
17,1,88,01,18,2,12,25,2,//,8,5,1,03,0,0,1,3,//,07,/////,               ,kE
34,1,88,01,18,0,12,35,2,05,8,3,0,01,2,1,1, ,  ,07,/////,b-c-d-e-f      ,
34,1,88,01,18,0,12,35,2,02,8,3,0,02,0,1,1, ,  ,07,/////,               ,
34,1,88,01,18,0,12,35,2,02,8,3,0,03,0,1,1, ,  ,07,/////,               ,
04,1,88,01,18,2,13,15,1,02,7,5,8,01,1,1,1,2,//,08,/////,d              ,
07,1,88,01,18,2,13,26,1,00,8,5,5,01,1,4,1, ,//,07,/////,c-d-e          ,
02,1,88,01,18,0,14,00,1,05,4,5,0,01,2,1,1,3,//,08,/////,c-d-e          ,
02,1,88,01,18,0,14,00,1,05,4,5,0,12,1,1,1,3,//,08,/////,d-e-f          ,
04,1,88,01,18,2,14,00,1,01,8,5,0,02,1,4,2,2,//,08,/////,               ,
25,1,88,01,18,0,14,00,1,00,7,6,8,01,2,1,1,3,//,08,/////,d              ,
26,1,88,01,18,0,14,20,1,07,5,5,0,01,0,1,1,3,//,08,/////,b-c-d-e        ,
25,1,88,01,18,0,14,41,1,00,7,6,0,05,0,1,1,3,//,08,/////,               ,kE
38,1,88,01,18,0,14,46,1,00,/,5,8,11,1,1,1,3,//,08,/////,               ,3'
18,1,88,01,18,1,14,50,1,01,5,2,2,05,0,0,1,1,  ,08,/////,               ,Zug Freiberg-Chemnitz
18,1,88,01,18,1,14,50,1,10,5,2,2,10,1,0,1,1,  ,08,81002,               ,
